vs_name,vs_id,ftm_name,ftm_id
helping arizona limit tragedy halt,1085,TimeoutException,TimeoutException
arizona state afl cio,768,Arizona State Afl Cio,52433113
associated general contractors,2351,Associated General Contractors,48059673
associated general contractors,2351,Associated General Contractors,54267071
planned parenthood advocates of arizona,150,Planned Parenthood Advocates Of Arizona In-Kind,48131478
childrens action alliance,2870,Childrens Action Alliance,8559737
equality arizona,1091,Equality Arizona,8425554
arizona medical political action committee,3046,TimeoutException,TimeoutException
arizona economic development practitioners,2088,TimeoutException,TimeoutException
national federation of independent business arizona,2,TimeoutException,TimeoutException
unite here local 11 arizona,2944,TimeoutException,TimeoutException
sierra club grand canyon chapter,155,Sierra Club Grand Canyon Chapter,8560914
arizona womens political caucus,2205,Arizona Womens Political Caucus,8889466
tucson metro chamber,2869,Tucson Metro Chamber,42115549
united for arizona,519,Arizona Families United For Strong Communities,20367
united for arizona,519,Arizona United For Immigration Reform,5822
united for arizona,519,Living United For Change In Arizona,41152732
arizona list,2206,Arizona List,8425625
national rifle association political victory fund,1597,TimeoutException,TimeoutException
arizona hospital and healthcare association,1994,TimeoutException,TimeoutException
planned parenthood voters of arkansas,2456,Planned Parenthood Voters Of Arkansas,43135025
family council,2871,Family Council,3478157
family council,2871,Family Council,9714191
arizona state rifle and pistol association,713,TimeoutException,TimeoutException
national federation of independent business arkansas,1244,National Federation Of Independent Business Arkansas,42114298
arkansas rifle and pistol association,836,TimeoutException,TimeoutException
arkansas citizens first congress,106,Arkansas Citizens First Congress,27649580
conduit for commerce,2575,Conduit For Commerce,16129041
conservative arkansas,2209,Conservative Arkansas,9620249
arkansas state employees association,2857,Arkansas State Employees Association,13668775
arkansas state employees association,2857,Arkansas State Employees Association,9623497
arkansas afl cio,1140,Arkansas Afl-Cio,20129
arkansas afl cio,1140,Arkansas Afl-Cio Young Workers Conference,40802150
arkansas afl cio,1140,Peaint Arkansas Afl-Cio,9850262
california environmental justice alliance,2527,California Environmental Justice Alliance,24577229
california labor federation,1594,California Labor Federation Afl-Cio,20131
california labor federation,1594,California State Federation Of Labor,53933497
california labor federation,1594,"Coalition To Protect Riders & Drivers, Sponsored By The California Labor Federation, Afl-Cio",50229752
california labor federation,1594,"Million More Voters, Sponsored By The California Labor Federation Afl-Cio",47593704
california labor federation,1594,Million More Voters-Sponsered By The California Labor Federation Afl-Cio,47418987
california labor federation,1594,Standing Committee On Political Education Of The California Labor Federation Afl-Cio Scc,47116798
california labor federation,1594,Standing Committee On Political Education Of The California Labor Federation Small Contributor Committee,49314582
california labor federation,1594,"Standing Committee On Political Education Of The California Labor Federation, Afl-Cio- Small Contributor Committee",44597525
honor pac,2212,Honor Pac,10243946
honor pac,2212,Honor Pac,7214686
california farm bureau federation,220,California Farm Bureau Federation,3622
professional engineers in california government,1979,Professional Engineers In California Government,4414
national rifle association political victory fund,298,TimeoutException,TimeoutException
california young democrats,3257,California Young Democrats,10245154
california young democrats,3257,California Young Democrats,1262608
california young democrats,3257,California Young Democrats,29261806
american family association of arkansas,274,TimeoutException,TimeoutException
national tax limitation committee,691,National Tax Limitation Committee,2285950
california federation of teachers,1923,California Federation Of Teachers,19198
california federation of teachers,1923,California Federation Of Teachers,48495805
democrats for neighborhood action,2632,Democrats For Neighborhood Action,13811002
national union of healthcare workers,2491,National Union Of Healthcare Workers,16933737
national womens political caucus california,2993,National Womens Political Caucus (Nwpc) Of California Pac,29030054
national womens political caucus california,2993,National Womens Political Caucus California Pac Nwpc Ca,53396632
national womens political caucus california,2993,National Womens Political Caucus California State,2400840
national womens political caucus california,2993,National Womens Political Caucus California Womens Leadership Fund,49319620
national womens political caucus california,2993,National Womens Political Caucus Nwpc California,52373841
national womens political caucus california,2993,National Womens Political Caucus Of California,14428
national womens political caucus california,2993,National Womens Political Caucus Of California (Nwpc Ca) Pac,752862
national womens political caucus california,2993,National Womens Political Caucus Of California (Nwpc) Pac,32877966
national womens political caucus california,2993,National Womens Political Caucus Of California Pa,48127463
national womens political caucus california,2993,National Womens Political Caucus Of California Pac,1950675
california teachers association,2268,California Teachers Association,20205
california communities united institute,589,TimeoutException,TimeoutException
republican liberty caucus of california,2083,TimeoutException,TimeoutException
naral pro choice california,1004,Naral Pro Choice California,1801
association for los angeles deputy sheriffs alads,3256,TimeoutException,TimeoutException
democrats for israel los angeles,2445,Democrats For Israel Los Angeles State,53403692
democrats for israel los angeles,2445,Democrats For Israel- Los Angeles,55392448
university of california student association,2522,University Of California Student Association,24357381
california chamber of commerce,1019,California Chamber Of Commerce,17299
california chamber of commerce,1019,California Chamber Of Commerce,48004153
jericho,881,Jericho,32273155
california faculty association,127,California Faculty Association,3288
national association of social workers california,2638,California Chapter National Association Of Social Workers,18945
national association of social workers california,2638,National Association Of Social Workers California Political Action For Candidate Election Calpace,46525556
national association of social workers california,2638,National Association Of Social Workers Calpace California Political Action For Candidate Election,52374366
unite here local 11 california,2943,TimeoutException,TimeoutException
gun owners of california,124,Gun Owners Of California,375639
howard jarvis taxpayers association,792,Howard Jarvis Taxpayers Association,12970
california professional firefighters,2262,California Professional Firefighters Cpf,49313499
california professional firefighters,2262,California Professional Firefighters Pac Small Contributor Commitee,54264837
california professional firefighters,2262,California Professional Firefightersac,49305404
spirit of democracy,2437,Spirit Of Democracy America,18929155
spirit of democracy,2437,Spirit Of Democracy California,16741307
university professional and technical employees,2935,TimeoutException,TimeoutException
united domestic workers of america udwafscme local 3930 afl cio,2634,TimeoutException,TimeoutException
environment california,1698,"Association Of Environmental & Engineering Geologists, Southern California Section",28755822
environment california,1698,California Association Of Environmental Health Administrators,24574752
environment california,1698,California Conference Directors Environmental Health,32210240
environment california,1698,California Conference Of Directors Of Environmental Health (Ccdeh),36596067
environment california,1698,California Council For Environmental & Economic,47921531
environment california,1698,California Council For Environmental & Economic Balance,24357345
environment california,1698,California Council For Environmental Balance Cceeb,43617858
environment california,1698,California Environmental,1334630
environment california,1698,California Environmental & Resource Associates,38188511
environment california,1698,California Environmental Compa,49312365
congress of california seniors,1326,Congress Of California Seniors - Region 3,24787179
congress of california seniors,1326,Congress Of California Seniors Education & Research Fund,44825353
california school employees association,1537,California School Employees Association (Formerly Nat Assoc Classified Sch Emp),39503664
california school employees association,1537,California School Employees Association / Csea,3298
california school employees association,1537,California School Employees Association Santa Monica College Chapter 36,1158629
california school employees association,1537,Pace Of California School Employees Association Pac Small Contributor Committee,54263895
california school employees association,1537,Pace Of California School Employees Associations,55377693
california school employees association,1537,Pace-Political Action For Classified Employees Of California School Employees Association Small Contributor Committee,54264820
stonewall democratic club,2631,Stonewall Democratic Club,4607388
stonewall democratic club,2631,Stonewall Democratic Club,772625
california police chiefs association,2720,California Police Chiefs Association,422369
united teachers los angeles,2928,Political Action Council Of Educators Sponsored By Teachers Unions Including United Teachers Los Angeles,32687225
united teachers los angeles,2928,Political Action Council Of Educators Sponsored By Teachers Unions Including United Teachers Of Los Angeles,44597473
united teachers los angeles,2928,"Political Action Council Of Educators Sponsored By Teachers Unions, Including United Teachers Los Angeles",21211534
united teachers los angeles,2928,Political Action Council Of Educators Sponsored By The Teachers Unions Including United Teachers Los Angeles Pace,47591746
united teachers los angeles,2928,Political Action Council Of Educators-United Teachers Los Angeles,54264265
united teachers los angeles,2928,United Teachers Los Angeles Local 1021,24575
united teachers los angeles,2928,United Teachers Los Angeles-Politic,42083732
united teachers los angeles,2928,United Teachers Los Angeles-Political Action Council Of Educators,47417992
united teachers los angeles,2928,United Teachers Los Angeles-Political Action Council Of Educators Pace Issues,50781939
united teachers los angeles,2928,Utla Political Action Council Of Educators United Teachers Los Angeles,42629267
race forward,338,Race Forward,55731352
latinas lead california,2635,TimeoutException,TimeoutException
capitol weekly,1875,Capitol Weekly,27321860
capitol weekly,1875,Capitol Weekly,43618584
california state university employees union,2582,California State University Employees Union,16036202
california league of conservation voters,495,California League Of Conservation Voters,4011
christian coalition of california,72,Christian Coalition Of California,2394592
equality california,1285,Equality California,14586
california manufacturers and technology association,476,TimeoutException,TimeoutException
jack berman advocacy center,1289,TimeoutException,TimeoutException
capitol resource institute,1852,Capitol Resource Institute,2378863
california park recreation society,1143,California Park & Recreation Society,262427
california park recreation society,1143,California Park & Recreation Society,36596030
california park recreation society,1143,California Park & Recreation Society (Cprs),32213419
california park recreation society,1143,California Park & Recreation Society Century Club,1669748
california park recreation society,1143,California Park & Recreation Society Inc,32210511
california park recreation society,1143,"California Park & Recreation Society Inc, Supporting Clean Water Natural Resources & Parks",44113813
california park recreation society,1143,California Parks & Recreation Society,32213121
california park recreation society,1143,"California Parks Recreation Society, District 7",45161396
california nurses association,184,American Psychiatric Nurses Association California Chapter,2099459
california nurses association,184,California Association Of Incorporated Registered Nurses,24576245
california nurses association,184,California Association Of Nurses Anesthetists,55375765
california nurses association,184,California Nurses Association / National Nurses Organizing Cmte,3295
california nurses association,184,California Nurses Association / National Nurses Organizing Committee-Colorado,27704641
california nurses association,184,California Nurses Association / National Nurses Organizing Committee-Colorado / National Nurses United,27704642
california nurses association,184,California Nurses Association Cna_Pac,55698952
california nurses association,184,California Nurses Association Intermediary For Unitemized Member Contributions,53389590
california nurses association,184,California Nurses Association Pac Certified Nurses Assistant,53397811
california nurses association,184,California Nurses Association Pac Cna-Pac Small Contributor Commitee,55375285
peace officers research association of california,1924,Peace Officers Research Association Of California,4238
life priority network,353,TimeoutException,TimeoutException
womens political committee,2210,Womens Political Committee,45123373
biocom,859,Biocom,29326534
drugsense,1983,TimeoutException,TimeoutException
national federation of independent business california,84,National Federation Of Independent Business California,46520687
national federation of independent business california,84,National Federation Of Independent Business California,52372387
silicon valley leadership group,1101,Silicon Valley Leadership Group,423800
california alliance to protect private property rights,2063,California Alliance To Protect Private Property Rights,43618591
clean water action california,1989,TimeoutException,TimeoutException
american cancer society california division inc,2034,TimeoutException,TimeoutException
california statewide law enforcement association,2719,California Statewide Law Enforcement Association,11470
courage campaign,2872,Courage Campaign,10244084
harvey milk lgbtq democratic club,2930,Harvey Milk Lgbtq Democratic Club,55393258
california association of professional scientists,3270,California Association Of Professional Scientists,3281
national rifle association political victory fund,520,TimeoutException,TimeoutException
consumer federation of california,637,Consumer Federation Of California,11341
asian americans for civil rights and equality,1600,TimeoutException,TimeoutException
california federation of business and professional women,421,TimeoutException,TimeoutException
california civil liberties advocacy,2524,TimeoutException,TimeoutException
planned parenthood affiliates of california,224,Planned Parenthood Affiliates Of California,18824
planned parenthood affiliates of california,224,Planned Parenthood Affiliates Of California,44051246
united nurses associations of california union of health care professionals,1997,"Californians For Fiscal And Economic Leadership, Primarily Formed To Support John Chiang For Governor 2018 Sponsored By United Nurses Associations Of California / Union Of Health Care Professionals",47283337
california public interest research group calpirg,1025,"California Public Interest Research Group, Inc (Calpirg)",35610579
california public interest research group calpirg,1025,"Calpirg, California Public Interest Research Group",28757018
california republican assembly,1262,California Republican Assembly,40614076
save california,2123,Save California,10243958
crime victims united of california,1980,Crime Victims United Of California,11449
california pro life council,1188,California Pro Life Council,265236
new majority california,1928,New Majority California,1884
roots of change,2881,TimeoutException,TimeoutException
sierra club california,509,California Sierra Club,45161988
sierra club california,509,California Sierra Club,52695018
sierra club california,509,California Sierra Club Pac All Purpose Account,45358634
sierra club california,509,Sierra Club California Chapter,167648
san francisco aids foundation,994,San Francisco Aids Foundation,24357391
lambda letters project,2301,TimeoutException,TimeoutException
housing california,1094,Housing California,1669582
california national organization for women,250,California National Organization For Women,358366
service employees international union seiu california,2186,Service Employees International Union Seiu California State Council Small Contributor Committee,55695980
fraternal order of police california state lodge,2263,California State Lodge Fraternal Order Of Police,1848077
fraternal order of police california state lodge,2263,California State Lodge Fraternal Order Of Police Fop,54264179
health access california,2523,Health Access California,2115852
denver metro chamber of commerce,1874,Denver Metro Chamber Of Commerce,17301
colorado medical society,2213,Colorado Medical Society,6346
colorado chamber of commerce,2748,Colorado Chamber Of Commerce,47235713
colorado gerontological society,1214,Colorado Gerontological Society,27692845
conservation colorado,2309,Conservation Colorado,6342
principles of liberty,2521,Founding Principles Of Liberty,52447163
colorado students for education reform action network,2735,TimeoutException,TimeoutException
resilient denver,3011,TimeoutException,TimeoutException
colorado pta,477,Colorado Pta,27739609
national federation of independent business colorado,1352,TimeoutException,TimeoutException
colorado public interest research group,297,Colorado Public Interest Research Group,6569955
healthier colorado,2873,Healthier Colorado,37767858
healthier colorado,2873,Healthier Colorado,51222152
sierra club rocky mountain chapter,803,TimeoutException,TimeoutException
womens lobby of colorado,1998,Womens Lobby Of Colorado,27632512
colorado senior lobby,1026,TimeoutException,TimeoutException
colorado state shooting association,28,Colorado State Shooting Association,6629075
rocky mountain gun owners,578,Rocky Mountain Gun Owners,6005470
firearms coalition of colorado,175,Firearms Coalition Of Colorado,6419538
pikes peak firearms coalition,1281,Pikes Peak Firearms Coalition,24789966
colorado voters for animals,2320,Colorado Voters For Animals,16276193
naral pro choice colorado,1142,Naral Pro Choice Colorado,6278992
equal rights colorado,627,Equal Rights Colorado,10869073
mental health colorado,2520,Mental Health Colorado,29298844
colorado protectors of public schools,64,Colorado Protectors Of Public Schools,6390854
planned parenthood votes colorado,202,Planned Parenthood Votes Colorado Independent Expenditure Committee,51106780
planned parenthood votes colorado,202,Planned Parenthood Votes Colorado Issue Committee,20814609
league of conservation voters rocky mountain office,71,TimeoutException,TimeoutException
one colorado,2745,One Colorado,5998554
our revolution metro denver,3010,TimeoutException,TimeoutException
republican liberty caucus of colorado,3300,Republican Liberty Caucus Of Colorado,16203914
republican liberty caucus of colorado,3300,Republican Liberty Caucus Of Colorado,40798884
coalition of connecticut sportsmen,129,Coalition Of Connecticut Sportsmen,7240734
colorado right to life,923,Colorado Right To Life,6235363
connecticut public interest research group,409,Connecticut Public Interest Research Group,10926947
connecticut public interest research group,409,Connecticut Public Interest Research Group,50033462
connecticut public interest research group,409,Connecticut Public Interest Research Group,53798775
connecticut public interest research group,409,Connecticut Public Interest Research Group,54856953
connecticut public interest research group,409,Connecticut Public Interest Research Group,55558495
planned parenthood votes connecticut,2457,Planned Parenthood Votes Connecticut,10245205
planned parenthood votes connecticut,2457,Planned Parenthood Votes Connecticut,48307544
national federation of independent business connecticut,964,National Federation Of Independent Business Connecticut,47155001
national rifle association political victory fund,1135,TimeoutException,TimeoutException
people of faith connecticut,1736,TimeoutException,TimeoutException
connecticut citizen action group,1391,Connecticut Citizen Action Group,7543574
connecticut afl cio,931,Connecticut Afl-Cio,20134
aft connecticut,2795,Connecticut After School Network,24675352
aft connecticut,2795,Connecticut After School Network,27674047
aft connecticut,2795,Connecticut After School Network,50033429
aft connecticut,2795,Connecticut After School Network,53798723
aft connecticut,2795,Connecticut After School Network,54856904
aft connecticut,2795,Connecticut After School Network,55558446
aft connecticut,2795,"Connecticut, Aft",48135576
aft connecticut,2795,Demstatecentralcom Federal Account Transfer Of Contribution From Aft Connecticut: Deposit Wrong Acct,17574883
national rifle association political victory fund,838,TimeoutException,TimeoutException
the connecticut chapter of the sierra club,2147,TimeoutException,TimeoutException
connecticut league of conservation voters,3,TimeoutException,TimeoutException
positive growth alliance,2000,Positive Growth Alliance,27652081
positive growth alliance,2000,Positive Growth Alliance,8554719
national federation of independent business delaware,540,TimeoutException,TimeoutException
delaware stonewall pac,2362,Pac Delaware Stonewall Pac,26784836
national rifle association political victory fund,1113,TimeoutException,TimeoutException
palm beach county human rights council,2489,Palm Beach County Human Rights Council,851551
delaware state sportmens association,596,Delaware State Sportmens Association,44663427
delaware state sportmens association,596,Delaware State Sportmens Association,8511968
florida retail federation,2537,Florida Retail Federation,3743
florida retail federation,2537,Florida Retail Federation,45033635
unified sportsmen of florida,615,Unified Sportsmen Of Florida,27601001
the everglades trust,3058,TimeoutException,TimeoutException
florida planned parenthood pac,3094,TimeoutException,TimeoutException
florida chamber of commerce,607,Florida Chamber Of Commerce,17291
florida chamber of commerce,607,Florida Chamber Of Commerce,45033670
americans for prosperity florida,2066,TimeoutException,TimeoutException
the new florida majority,2798,New Florida Majority The,50834418
florida conservation voters,2480,Florida Conservation Voters,42104884
national federation of independent business florida,528,National Federation Of Independent Business Florida,42608092
fund education now,2082,Restore Education Funding Now,29066257
fund education now,2082,Streetcar Now Education Fund,45394598
florida family action,2539,Florida Family Action,12168
republican liberty caucus of florida,3299,Republican Liberty Caucus Of Florida,39656075
league of southeastern credit unions,2002,League Of Southeastern Credit Unions,39500224
league of southeastern credit unions,2002,League Of Southeastern Credit Unions,7072959
greater south florida chamber of commerce,3053,TimeoutException,TimeoutException
vote water,3051,"A8068 / S5898 ? Casinos To Voters - A8101 / S5883 ? Casinos Placements A8112 / S5094 ? Chap Amend Waterfront Development Program",39532100
vote water,3051,Clean Water Action Voter Education Project,9305031
vote water,3051,Ma Clean Water Action Vote Environment,589194
vote water,3051,Massachusetts Clean Water Action Vote Env,1039675
vote water,3051,Massachusetts Clean Water Action Vote Enviorment,961002
vote water,3051,Michigan Clean Water Action Vote Env,318029
vote water,3051,Michigan Clean Water Action Vote Environment,1830023
vote water,3051,Michigan Clean Water Actn Vote Environment,1928707
vote water,3051,Rhode Island Clean Water Action Vote Environment,9651342
vote water,3051,Texas Vote Environment Clean Water Action,10244450
florida league of conservation voters,715,Florida League Of Conservation Voters,1559097
stand with parkland,3093,Stand With Parkland,48480134
service employees international union seiu florida,2579,TimeoutException,TimeoutException
florida lgbtq democratic caucus,3042,Florida Lgbtq+ Democratic Caucus,52456607
the democratic environmental caucus of florida,3059,TimeoutException,TimeoutException
the paradise progressive,3062,TimeoutException,TimeoutException
south florida 9 12,1913,TimeoutException,TimeoutException
florida associated builders and contractors,1286,TimeoutException,TimeoutException
christian family coalition florida,2117,Christian Family Coalition Florida,47632496
christian coalition of florida,1591,Christian Coalition Of Florida,27323283
personhood florida,2536,Personhood Florida,10948817
florida naral,1499,TimeoutException,TimeoutException
ruths list florida,2354,Ruths List Florida,213628
florida health care association fhca,2001,TimeoutException,TimeoutException
florida medical association political action committee,2153,TimeoutException,TimeoutException
florida afl cio,69,Central Florida Afl-Cio,688260
florida afl cio,69,Cope Fund Florida Afl-Cio,49832096
florida afl cio,69,Florida Afl Cio Cope Fund,52463961
florida afl cio,69,Florida Afl- Cio Cope Fund,49284976
florida afl cio,69,Florida Afl-Cio,20136
florida afl cio,69,Florida Afl-Cio Fund,50008068
florida afl cio,69,So Florida Afl-Cio,27323155
florida afl cio,69,South Florida Afl Cio,49284283
florida afl cio,69,South Florida Afl-Cio,1943974
florida afl cio,69,West Central Florida Federation Of Labor / Afl-Cio,44646163
florida medical political action committee,47,TimeoutException,TimeoutException
equality florida,2353,Equality Florida,1479627
equality florida,2353,Equality Florida,15693817
foundation for floridas future,2077,Foundation For Floridas Future,12268
republican national hispanic assembly of florida,3045,Republican National Hispanic Assembly Of Florida,50027943
florida right to life,963,Florida Right To Life Education Fund Inc,52464021
florida right to life,963,Florida Right To Life Educational Fund,45389525
florida right to life,963,Florida Right To Life Federal Pac,24788556
florida right to life,963,Florida Right To Life Inc,2431236
florida right to life,963,Florida Right To Life Inc,30031409
florida right to life,963,Florida Right To Life Inc,52464022
florida right to life,963,Florida Right To Life Inc Education Fund,52464023
florida right to life,963,Florida Right To Life Pac,10239216
florida right to life,963,Florida Right To Life Political Action Committee,18930228
ronald reagan republican assemblies of florida,2216,TimeoutException,TimeoutException
georgia christian coalition,721,Georgia Christian Coalition,27668070
national federation of independent business georgia,1618,National Federation Of Independent Business Georgia,45801494
national federation of independent business georgia,1618,National Federation Of Independent Business Georgia,48066010
georgia conservative coalition,790,TimeoutException,TimeoutException
georgia sierra club,2219,Georgia Sierra Club,43791862
red clay democrats,2627,Red Clay Democrats,6799144
georgia chamber of commerce,760,Georgia Chamber Of Commerce,21497
spark reproductive justice now,1014,Spark Reproductive Justice Now,43791976
georgia stonewall democrats,2623,Georgia Stonewall Democrats,7629388
planned parenthood southeast advocates,1230,Planned Parenthood Southeast Advocates,23322993
americans for prosperity georgia chapter,2062,TimeoutException,TimeoutException
her term,2624,"Herndon, Deborah (Terminated)",27463356
her term,2624,"Hero, Joachim (Terminated: 01 / 09 / 2012)",27559629
her term,2624,"Snyder, Herb (Terminated)",27434763
naral pro choice georgia,2625,Garal (Naral Pro-Choice Georgia),27614005
naral pro choice georgia,2625,Naral Pro-Choice Georgia,12384718
georgia sports shooting association,980,TimeoutException,TimeoutException
family policy alliance of georgia,2834,Family Policy Alliance Of Georgia,44254822
georgia equality,1024,Georgia Equality,7058201
our revolution georgia,2640,TimeoutException,TimeoutException
national rifle association political victory fund,573,TimeoutException,TimeoutException
unite here local 5,2435,Unite Here Local 11 (Nonprofit 501(C)(5)),47283316
unite here local 5,2435,Unite Here! Local 5,10081590
unite here local 5,2435,Unite Here! Local 50,961629
unite here local 5,2435,Unite Here! Local 50-14,1430449
unite here local 5,2435,Unite Here! Local 50-18,1430350
unite here local 5,2435,Unite Here! Local 50-19,1430272
unite here local 5,2435,Unite Here! Local 50-20,1430291
unite here local 5,2435,Unite Here! Local 50-21,1430292
unite here local 5,2435,Unite Here! Local 50-22,1430294
unite here local 5,2435,Unite Here! Local 50-23,1430295
faith and freedom coalition of georgia,3289,TimeoutException,TimeoutException
sierra club hawaii chapter,66,Sierra Club Hawaii Chapter,26200919
hawaii government employees association,2222,Hawaii Government Employees Association,19157
ibew local 1186 international brotherhood of electrical workers,3273,TimeoutException,TimeoutException
planned parenthood votes northwest and hawaii,2466,TimeoutException,TimeoutException
national rifle association political victory fund,1836,TimeoutException,TimeoutException
hawaii state afl cio,1208,Hawaii State Afl-Cio,20138
hawaii state teachers association,1917,Hawaii State Teachers Association,20222
state of hawaii organization of police officers,3261,State Of Hawaii Organization Of Police Officers,9022
united public workers,2788,United Public Workers / Upw,11022245
united public workers,2788,United Public Workers Kauai,48838083
united public workers,2788,United Public Workers Local 646,19179
united public workers,2788,United Public Workersitte,52482898
national federation of independent business hawaii,1561,TimeoutException,TimeoutException
idaho associated general contractors,2690,Associated General Contractors Idaho Branch,7913908
idaho associated general contractors,2690,Associated General Contractors Of Idaho,28207857
paychecks hawaii smart business hawaii,1169,TimeoutException,TimeoutException
plumbers and fitters ua local 675,3272,TimeoutException,TimeoutException
idaho state fraternal order of police lodge,2689,Idaho Fraternal Order Of Police State Lodge,49638112
idaho state fraternal order of police lodge,2689,Idaho State Lodge Fraternal Order Of The Police,49681580
idaho conservative,1808,Conservative Voters For Idaho Action Fund,53405453
idaho conservative,1808,Conservatives For A Strong Idaho,47779432
idaho conservative,1808,Idaho Cmte For Conservative M,8095530
idaho conservative,1808,Idaho Conservative Fund,43508805
idaho conservative,1808,Idaho Conservative Fund,47928395
idaho conservative,1808,Idaho Conservative Growth Fund,20814987
idaho conservative,1808,Idaho Conservative Growth Fund,55346529
idaho conservative,1808,Idaho Conservative Pac,8110177
idaho christian coalition,1476,TimeoutException,TimeoutException
planned parenthood of the great northwest idaho,1317,TimeoutException,TimeoutException
idaho water users association,1248,Idaho Water Users Association,27602975
idaho water users association,1248,Idaho Water Users Association,39503042
voters for outdoor idaho,1111,Voters For Outdoor Idaho,7957230
voters for outdoor idaho,1111,Voters For Outdoor Idaho,8009542
idaho association of commerce industry,820,Idaho Association Of Commerce & Industry / Idaho Prosperity Fund,13040
national federation of independent business idaho,1040,TimeoutException,TimeoutException
idaho womens network,1305,Idaho Womens Network,27602918
illinois federation for right to life,1264,Illinois Federation For Right To Life,2626453
planned parenthood votes northwest and hawaii,2468,TimeoutException,TimeoutException
illinois public interest research group,209,Illinois Public Interest Research Group,1167549
idaho conservation league,906,Idaho Conservation League,39508979
idaho conservation league,906,Idaho Conservation League,7934074
illinois muslim civic coalition,3199,TimeoutException,TimeoutException
illinois right to life action,2985,Illinois Right To Life Action,44843424
national federation of independent business illinois,1047,National Federation Of Independent Business Illinois,43140314
familia latina unida,2662,TimeoutException,TimeoutException
for the good of illinois,2073,For The Good Of Illinois,16702548
for the good of illinois,2073,For The Good Of Illinois,2595913
illinois manufacturers association,1986,Illinois Manufacturers Association,4052
illinois manufacturers association,1986,Illinois Manufacturers Association,41698155
equality illinois,262,Equality Illinois,2598137
national association of social workers illinois chapter,316,Illinois Chapter National Association Of Social Workers,2656336
illinois churches in action on alcohol and addiction problems ilcaaap,225,TimeoutException,TimeoutException
planned parenthood illinois action,1097,Planned Parenthood Action Illinois Action,54430459
planned parenthood illinois action,1097,Planned Parenthood Of Illinois Action,40536504
planned parenthood illinois action,1097,"Planned Parenthood, Illinois Action",51490533
illinois afl cio,467,11Th Congressional District Of Illinois Afl-Cio,3681805
illinois afl cio,467,12Th Congressional District Of Illinois Afl-Cio,2594941
illinois afl cio,467,16Th Congressional District Of Illinois Afl-Cio,2932533
illinois afl cio,467,18Th Congressional District Of Illinois Afl-Cio,2593787
illinois afl cio,467,20Th Congressional District Of Illinois Afl-Cio,3469629
illinois afl cio,467,Afl Cio-Illinois,51491410
illinois afl cio,467,Illinois Afl-Cio,20141
illinois afl cio,467,"Illinois Afl-Cio, Committee On Political Education",48815788
illinois afl cio,467,Illinois Afl-Cio-Cope,54281690
illinois afl cio,467,"Illinois Valley Federation Of Labor, Afl-Cio",45149453
service employees international union seiu illinois,2661,TimeoutException,TimeoutException
illinois parents of adults with developmental disabilities,2548,TimeoutException,TimeoutException
illinois family institute,1645,Illinois Family Institute,12053
technology manufacturing association,1712,Amt - Association For Manufacturing Technology Machine Toolpac,36620532
